,Date,company,current_price,momentum,moving_average,moving_volatility,trading_range,target_return,exp_market_change,rates,Revenue,Cost_of_Sales,Gross_profit,Operating_profit,Net_Profit,Issue_of_shares,Share_repurchase,Non_current_assets,Current_assets,Non_current_liabilities,Current_liabilities,net_cash_op_act
87,2010/02/17, Anglogold Ashanti Ltd,29500.0,-0.1033434650455927,30598.216666666667,1854.5300020574166,850.55,0.09013559322033893,-0.016851903863900813,7.08,951.4,621.9,329.5,431.7,317.9,3.9,3.9,732.8,237.2,220.7,454.3,959.6
139,2010/05/06, Anglogold Ashanti Ltd,31150.0,0.13998170173833485,28743.15,1079.9336738108075,697.0666666666667,-0.053611556982343544,0.04432109308283518,6.58,845.3,606.0,239.3,141.3,115.0,0.3,0.0,741.4,188.0,221.0,396.3,816.6
206,2010/08/11, Anglogold Ashanti Ltd,31420.0,-0.026943326107153918,31682.016666666666,1388.4646012304531,864.9833333333333,0.050286441756842715,0.008203853325046613,6.42,991.8,609.9,381.9,-8.9,-136.0,2.6,0.0,719.6,203.3,306.8,328.0,1003.0
270,2010/11/10, Anglogold Ashanti Ltd,34987.0,0.09677115987460815,32142.716666666667,784.923381593207,705.0333333333333,-0.06036527853202622,0.13602403768068866,5.65,1066.8,665.9,400.9,138.2,44.3,559.6,0.0,753.0,248.5,412.7,197.5,1056.6
338,2011/02/16, Anglogold Ashanti Ltd,33230.0,-0.007585712579142277,32411.016666666666,1134.3662232855079,629.0166666666667,-0.061600962985254304,0.07657101343988376,5.53,1109.5,701.6,407.9,197.8,40.4,3.1,3.1,779.3,172.3,444.2,97.4,1095.5
392,2011/05/10, Anglogold Ashanti Ltd,31100.0,-0.050381679389312976,32827.566666666666,1043.2115401557182,782.2833333333333,-0.042315112540192934,-0.018848132106118028,5.45,1040.2,646.9,393.3,253.7,165.8,0.5,0.0,778.4,182.0,442.1,90.2,1012.3
451,2011/08/03, Anglogold Ashanti Ltd,30071.0,-0.02366883116883117,29729.583333333332,1207.5792466772657,654.2666666666667,0.1665391905822886,-0.06377303588748788,5.49,1154.7,641.2,513.5,352.0,319.5,0.2,0.2,799.1,209.3,443.5,86.6,1112.7
519,2011/11/08, Anglogold Ashanti Ltd,38025.0,0.16213325183374083,33865.88333333333,1804.0172787671486,1010.15,-0.07681788297172909,0.09852825525221885,5.49,1342.8,698.0,644.8,465.5,330.4,0.2,0.0,774.1,235.2,434.5,97.1,1333.6
586,2012/02/15, Anglogold Ashanti Ltd,33990.0,-0.10434782608695652,35793.566666666666,1173.794475219838,776.35,-0.22624301265077962,0.0973365093113902,5.5,1503.4,888.3,615.1,543.4,312.4,0.6,0.0,822.0,256.1,469.8,93.8,1478.9
641,2012/05/09, Anglogold Ashanti Ltd,26245.0,-0.2436599423631124,29320.433333333334,2931.435382583026,620.7833333333333,0.0667555724899982,-0.032459466527196654,5.56,1794.0,989.0,805.0,584.0,563.0,0.0,0.0,8542.0,2762.0,4580.0,980.0,1758.0
769,2012/11/07, Anglogold Ashanti Ltd,30000.0,0.06810980168761349,28634.783333333333,1100.0371194301038,803.55,-0.14633333333333332,0.070336,4.93,1664.0,1056.0,608.0,305.0,168.0,0.0,0.0,9887.0,2961.0,5411.0,1696.0,1603.0
954,2013/08/06, Anglogold Ashanti Ltd,12198.0,-0.27882227740333454,14735.7,1796.196407855235,567.3833333333333,0.251844564682735,0.018872609883287806,5.09,1301.0,1012.0,289.0,-3019.0,-2165.0,0.0,0.0,7403.0,1967.0,4004.0,2254.0,1343.0
1017,2013/11/05, Anglogold Ashanti Ltd,14901.0,0.1289491628153648,13977.983333333334,1006.1021023704596,527.1166666666667,0.10932152204550039,0.08312694314169784,5.07,1415.0,1064.0,351.0,80.0,1.0,0.0,0.0,7664.0,2311.0,5414.0,1240.0,1396.0
1088,2014/02/18, Anglogold Ashanti Ltd,19001.0,0.30420756400576565,14247.716666666667,2116.9396450379168,530.5333333333333,-0.07125940739961056,0.06724337373635769,5.56,1474.0,1042.0,432.0,235.0,-305.0,0.0,0.0,7404.0,2117.0,5331.0,1179.0,1479.0
1142,2014/05/13, Anglogold Ashanti Ltd,17739.0,0.009388869921474906,19060.866666666665,721.547852851034,589.4833333333333,0.06511077287333,0.05921587377480277,5.74,1359.0,1012.0,347.0,229.0,39.0,0.0,0.0,7584.0,1936.0,5327.0,1117.0,1288.0
1204,2014/08/08, Anglogold Ashanti Ltd,18933.0,0.07671747042766151,18008.816666666666,898.8473502428658,495.35,-0.44874029472349863,0.021225093574198176,6.01,1358.0,1064.0,294.0,175.0,-80.0,0.0,0.0,7621.0,1980.0,5450.0,1050.0,1386.0
1263,2014/10/31, Anglogold Ashanti Ltd,9350.0,-0.49731182795698925,14681.533333333333,2994.7414221113645,476.71666666666664,0.3968983957219252,-0.017804545654372006,5.9,1337.0,1052.0,285.0,149.0,41.0,0.0,0.0,7467.0,1843.0,5295.0,1005.0,1358.0
1339,2015/02/20, Anglogold Ashanti Ltd,13671.0,0.28971698113207545,11811.35,1825.1049268648862,479.85,-0.11016019310950187,0.03266935786292546,5.88,1324.0,1061.0,263.0,-35.0,-58.0,0.0,0.0,7485.0,1649.0,5279.0,984.0,1318.0
1390,2015/05/08, Anglogold Ashanti Ltd,13332.0,-0.06046511627906977,12685.533333333333,1095.5364674036007,495.28333333333336,-0.4344434443444345,0.04661192306854566,5.73,1122.0,870.0,252.0,142.0,-1.0,0.0,0.0,6933.0,1441.0,5176.0,787.0,1091.0
1458,2015/08/14, Anglogold Ashanti Ltd,8059.0,-0.3408849268013413,10046.7,1543.9303279700457,423.55,0.22633081027422763,-0.06037649695938233,6.16,1059.0,830.0,229.0,110.0,-17.0,0.0,0.0,6417.0,1411.0,5284.0,673.0,1078.0
1517,2015/11/06, Anglogold Ashanti Ltd,9785.0,0.179057717797325,11105.833333333334,1120.7968739994817,664.5166666666667,0.49361267245784357,0.041369534401919095,6.33,987.0,830.0,157.0,-95.0,-76.0,0.0,0.0,5709.0,1717.0,4033.0,715.0,986.0
1589,2016/02/19, Anglogold Ashanti Ltd,17005.0,0.79,12655.7,2669.1091594544278,778.5666666666667,0.31714201705380773,-0.07318321392016376,6.93,1061.0,812.0,249.0,120.0,65.0,0.0,0.0,5934.0,1350.0,4110.0,707.0,1060.0
1947,2010/03/04, Aspen Pharmacare Holdings Ltd,7684.0,0.1136231884057971,7038.716666666666,329.6539064270265,195.33333333333334,0.020171785528370734,0.01688801442859485,6.95,4576.0,2441.1,2134.9,1314.2,840.8,4587.6,0.0,11563.7,6552.8,3820.7,4583.2,1482.0
2081,2010/09/16, Aspen Pharmacare Holdings Ltd,9103.0,0.15961783439490446,8115.333333333333,431.6604388443317,205.23333333333332,0.027133911897176732,0.03814846312720204,6.08,10146.6,5542.3,4604.3,2614.9,1969.3,4592.8,13.6,12178.3,7622.6,3084.8,5829.9,3269.5
2199,2011/03/04, Aspen Pharmacare Holdings Ltd,7930.0,-0.16526315789473683,8741.616666666667,480.04142094117117,192.4,0.08133669609079441,0.03208480062604489,5.5,5989.8,3380.9,2608.9,1613.9,672.5,7.4,20.1,11316.6,9326.4,3261.1,6119.7,1808.4
2329,2011/09/14, Aspen Pharmacare Holdings Ltd,8775.0,0.032474408753971055,8335.366666666667,238.54374339757064,240.63333333333333,0.06552706552706544,-0.009011282125220777,5.49,12383.2,6769.7,5613.5,3149.0,2655.3,10.0,26.2,17423.1,8959.8,5302.2,8207.8,3845.0
2451,2012/03/08, Aspen Pharmacare Holdings Ltd,10900.0,0.12371134020618557,10111.883333333333,383.56680595797354,207.83333333333334,0.1096330275229358,0.03825779870512066,5.54,7504.9,3929.1,3575.8,2000.5,2909.5,200.0,18.6,19644.1,10100.7,7513.8,6460.0,2308.2
2580,2012/09/13, Aspen Pharmacare Holdings Ltd,14120.0,0.1275253533498363,13592.933333333332,776.9716061969356,296.75,0.09872521246458921,0.030342450160980843,4.94,15255.8,7979.5,7276.3,3940.6,4295.4,401.9,19.3,21286.6,10431.9,7000.1,7320.3,4746.0
2701,2013/03/08, Aspen Pharmacare Holdings Ltd,19350.0,0.2357110926623667,16684.083333333332,675.0568913041888,427.1,-0.019431524547803614,0.04867565055762082,5.05,8997.1,4630.0,4367.1,2485.3,2300.4,16.3,21.1,25442.2,11720.0,6980.3,11205.9,2855.9
2829,2013/09/12, Aspen Pharmacare Holdings Ltd,26400.0,0.31343283582089554,22634.766666666666,1420.823518265638,710.1833333333333,-0.008030303030303054,0.09516890664729385,5.06,19308.0,10077.3,9230.7,5043.3,6078.2,936.0,21.1,29644.7,15777.0,9757.5,12865.3,5960.1
2950,2014/03/07, Aspen Pharmacare Holdings Ltd,28599.0,0.08165658093797278,26172.616666666665,1005.5085582603809,601.9333333333333,-0.009790552117206919,0.0853959150820002,5.73,11976.3,6398.7,5577.6,2880.1,3101.4,1.6,22.3,49741.1,30813.2,38349.2,17037.1,3278.3
3077,2014/09/11, Aspen Pharmacare Holdings Ltd,34360.0,0.13489232395296605,30102.85,1290.3835433636325,667.4666666666667,0.15826542491268913,-0.010371744005520097,6.0,29515.1,15793.2,13721.9,7424.8,6915.4,2.7,22.3,51334.6,31212.8,37629.3,16042.0,7911.2
3198,2015/03/06, Aspen Pharmacare Holdings Ltd,43300.0,0.10281944833558312,41836.683333333334,1589.6987614832024,894.4833333333333,-0.19127020785219395,0.06802041973908111,5.8,18033.3,9562.3,8471.0,4318.4,2751.6,0.2,21.7,54433.5,31473.3,37789.5,17374.5,4916.9
3326,2015/09/10, Aspen Pharmacare Holdings Ltd,32250.0,-0.10416666666666667,35546.75,1699.2728417410838,900.85,-0.04189147286821704,-0.04099003004048936,6.24,36126.6,18872.4,17254.2,8449.9,5201.4,4.9,22.7,55680.2,29847.3,32477.3,21778.5,9506.8
3448,2016/03/04, Aspen Pharmacare Holdings Ltd,30700.0,-0.001138766878151944,27633.816666666666,1928.8235941488156,1007.3333333333334,0.04234527687296419,0.03619209824529951,7.04,17512.3,8682.4,8829.9,6088.4,10044.2,0.0,35.6,69497.7,35819.4,21937.2,40181.1,4997.2
3579,2016/09/15, Aspen Pharmacare Holdings Ltd,33826.0,-0.07071428571428572,36645.46666666667,1435.404478124498,881.6666666666666,-0.20179743392656535,-0.03778111570075521,7.29,35600.0,17700.0,17900.0,9000.0,9400.0,0.0,100.0,67100.0,37100.0,40700.0,21100.0,9800.0
3789,2010/02/23, African Rainbow Minerals Ltd,17868.0,0.10637770897832817,16982.3,831.091630510795,603.0,-0.038168793373628884,-0.022060311677798018,7.08,4386.0,3088.0,1298.0,744.0,452.0,90.0,25.0,19001.0,6265.0,5676.0,2845.0,895.0
3918,2010/08/31, African Rainbow Minerals Ltd,15428.0,-0.1019790454016298,16526.2,753.6183181767434,563.3833333333333,0.24449053668654397,0.02219104706032394,6.42,11423.0,7480.0,3943.0,2920.0,1812.0,91.0,0.0,12347.0,7943.0,6043.0,3661.0,3430.0
4045,2011/03/01, African Rainbow Minerals Ltd,20900.0,-0.009478672985781991,21587.35,716.1557406844637,535.4666666666667,-0.022727272727272707,0.015271493212669683,5.5,6924.0,3940.0,2984.0,2534.0,1558.0,91.0,0.0,21649.0,7864.0,6507.0,3168.0,2049.0
